"科目名","学科","カテゴリ","説明"
"精神波動と幻惑効果（Mental Frequencies and Illusion Effects）","呪歌学科","呪歌概論","呪歌が敵味方に与える心理的影響のメカニズムと実践活用を学ぶ。"
"楽器工学基礎（Magical Instrument Engineering）","呪歌学科","呪歌概論","楽器の設計とその戦術的応用について学ぶ。"
"異次元音響学（Dimensional Acoustics）","呪歌学科","呪歌概論","奈落の魔域や剣の迷宮における音響の影響を研究し、特殊環境下での呪歌の効果を検証する。"
"多文化音楽学（Ethnomusicology of Other Races）","呪歌学科","音楽人類学・伝承学","エルフ・ドワーフ・リカント・その他種族の民族音楽とその影響を研究する。"
"呪歌歴史研究（Historical Bardic Studies）","呪歌学科","音楽人類学・伝承学","過去の偉大な吟遊詩人やその技術と戦術の再現を研究する。"
"英雄叙事詩と戦闘詩学（Heroic Epics and Battle Poetry）","呪歌学科","音楽人類学・伝承学","英雄伝や戦争歌の持つ文化的・心理的影響を分析する。"
"暗号詠唱法（Ciphered Hymnology）","呪歌学科","音楽人類学・伝承学","呪歌を用いた秘密通信技術とその歴史的使用例を学ぶ。"
"戦術鼓咆運用論Ⅰ（Advanced War Cry Tactics I）","鼓咆学科","指揮戦術学","戦局に応じた鼓咆の選択と運用法を学ぶ基礎理論。"
"士気管理と戦場心理学（Morale Management and Battlefield Psychology）","鼓咆学科","指揮戦術学","兵士や冒険者の士気を管理し、敵の士気を削ぐ心理戦を実践する。"
"陣率強化演習（Practical Training in Strategic Formations）","鼓咆学科","指揮戦術学","陣率を活用した自己強化と集団戦闘への応用を実地訓練で習得する。"
"先制戦術と布陣学（Initiative Tactics and Battlefield Deployment）","鼓咆学科","指揮戦術学","先制判定の活用や開戦時の布陣選択、戦局に応じた展開方法を理論と実践で学ぶ。"
"戦術的包囲と陣形学（Encirclement Strategies and Formation Analysis）","鼓咆学科","指揮戦術学","集団戦闘における包囲戦術と陣形の変遷、戦略的活用法を学ぶ。"
"戦場適応戦術（Adaptive Warfare Tactics）","鼓咆学科","軍略応用学","戦闘中に変化する状況を判断し、リアルタイムで戦術を組み立てる技術を習得する。"
"大規模戦闘指揮論（Theory of Large-Scale Battle Command）","鼓咆学科","軍略応用学","小隊・中隊レベルでのウォーリーダーの統率技術を研究する。"
"戦略的撤退と持久戦術（Strategic Retreat and Endurance Tactics）","鼓咆学科","軍略応用学","戦況が不利な場合の撤退指示と長期戦での鼓咆・陣率管理を学ぶ。"
"軍師の知略と情報戦（Military Intelligence and Strategic Deception）","鼓咆学科","軍略応用学","偵察、偽情報戦、伏兵の活用など、軍略としての情報戦を習得する。"
"兵站と補給戦略（Logistics and Supply Chain in Warfare）","鼓咆学科","軍略応用学","持久戦に必要な物資管理や魔法・ポーションの供給・運用を学ぶ。"
"多重鼓咆運用実践（Multi-Layered War Cry Application）","鼓咆学科","高度支援技術","高度な鼓咆の組み合わせと複数バフ効果の最大化を演習する。"
"魔法支援戦術論（Magical Warfare Support Strategies）","鼓咆学科","高度支援技術","魔法戦における支援戦術、魔法使いとの連携と支援効果の最大化を学ぶ。"
"戦場回復と状態異常対策（Battlefield Recovery and Status Resistance）","鼓咆学科","高度支援技術","戦闘中の回復戦術や状態異常対策の実践戦略を学ぶ。"
"部隊間戦術連携演習（Tactical Coordination Between Squads）","鼓咆学科","高度支援技術","多部隊間での戦術協力と指揮官連携のケーススタディを実施する。"
"恐怖管理と勇気形成（Fear Suppression and Courage Development）","鼓咆学科","戦場心理学","恐怖による戦力低下を抑え、勇気を引き出す方法論を学ぶ。"
"極限状況下の指揮決断（Command Decision-Making Under Extreme Conditions）","鼓咆学科","戦場心理学","突発的な状況変化や戦況悪化の中での迅速な指揮判断を実戦演習する。"
"逆転戦術と士気回復（Comeback Strategies and Morale Recovery）","鼓咆学科","戦場心理学","崩壊寸前の軍勢を立て直し、逆転勝利を収める戦術シミュレーションを行う。"
"軍師戦術史概論（Introduction to the History of Military Strategy）","鼓咆学科","軍事史・戦争社会学科","戦術・戦略の歴史的変遷を概観し、ウォーリーダー技能の発展を考察する。"
"歴史的軍師研究（Studies on Legendary War Leaders）","鼓咆学科","軍事史・戦争社会学科","歴史上の名軍師の戦術とその応用を分析し、実戦での再現性を検証する。"
"種族別戦争戦略概論（Comparative Warfare Strategies of Different Races）","鼓咆学科","軍事史・戦争社会学科","各種族（人間、エルフ、ドワーフ、リカント）の戦争観と戦術の違いを研究する。"
"戦後処理と戦争倫理（Post-War Management and Ethics of Warfare）","鼓咆学科","軍事史・戦争社会学科","戦後の責任、復興支援、戦争倫理と指揮のバランスを考察する。"
"戦闘用練技の最適化（Optimization of Combat Enhancements）","練技学科","練体戦術学","練技の組み合わせや発動順を最適化し、戦場で最大の効果を発揮する技術を学ぶ。"
"練技の耐久戦術（Sustained Battle Tactics with Enhancements）","練技学科","練体戦術学","長期戦を想定し、MP管理や効果時間延長を活用する戦術を習得する。"
"極限状況下の練技応用（Applied Enhancements in Extreme Conditions）","練技学科","練体戦術学","魔法封殺環境や異常状態下での練技活用を検証し、最適な選択肢を導く。"
"特殊戦域における練技戦術（Enhancement Strategies in Specialized Environments）","練技学科","練体戦術学","水中、寒冷地、高重力地帯など特殊環境下での練技有効性と適応方法を考察する。"
"魔法戦との協調戦術（Coordination of Enhancements and Magic Combat）","練技学科","練体戦術学","エンハンサーと魔法使いの連携によるバフ・デバフの相乗効果を学ぶ。"
"練技と格闘技の融合（Fusion of Enhancements and Martial Arts）","練技学科","練体戦闘理論","練体戦士が徒手格闘を最大限に活かす特化戦術を習得する。"
"練体術と武器戦闘（Synergy of Enhancements and Weapon Combat）","練技学科","練体戦闘理論","各種武器との適合性を考察し、最適な戦闘スタイルを構築する。"
"戦闘持久力の鍛錬（Training for Combat Endurance）","練技学科","練体戦闘理論","長時間戦闘に耐えるための練体法と実践技術を修得する。"
"瞬発的練技発動（Instantaneous Activation of Enhancements）","練技学科","練体戦闘理論","予備動作なしで即座に練技を発動する技術を研究し実践する。"
"防御・回避向上技術（Techniques for Enhanced Defense and Evasion）","練技学科","練体戦闘理論","練技を活用した防御・回避向上の理論と実践を学ぶ。"
"練体生理学（Physiology of Enhancement Techniques）","練技学科","生体練技科学","練技が肉体に与える影響を生理学・解剖学の観点から分析し、効果持続性や副作用を考察する。"
"練体技術と神経筋制御（Enhancement Techniques and Neuromuscular Control）","練技学科","生体練技科学","練技が神経伝達や筋肉動作に与える影響を研究し、動作制御と反応速度の向上を目指す。"
"練技の老化抑制と寿命延長（Enhancement Techniques and Longevity）","練技学科","生体練技科学","練技が細胞再生や老化抑制に与える影響を解析し、長期的な身体への作用を探求する。"
"練技と生体ストレス（Enhancements and Physiological Stress）","練技学科","生体練技科学","練技使用が心身に及ぼすストレス負荷と長期使用時の影響を検証する。"
"異種族生理における練技適応研究（Enhancement Adaptation in Non-Human Physiology）","練技学科","生体練技科学","各種族の生理特性に応じた練技の有効性と最適化を検証する。"
"練技の歴史と進化（History and Evolution of Enhancements）","練技学科","練技文化学","練技の起源、歴史、技術の変遷を追い、最新理論との関係性を探求する。"
"未来の練体技術（Future Prospects in Enhancement Technology）","練技学科","練技文化学","次世代の練技技術や新たな戦術応用を予測し、可能性を模索する。"
"魔導練技の統合（Integration of Arcane Magic and Enhancement Techniques）","練技学科","練技文化学","練技と魔法の融合による新たな戦術・戦略の発展を研究する。"
"地誌学と地図作成（Geography and Advanced Cartography）","一般教養","環境適応学","地形・地勢の変化を読み解き、地図作成や地理情報分析技術を修得する。"
"気象学と気候変動（Meteorology and Climate Change）","一般教養","環境適応学","気候変動の仕組みを学び、天候予測技術を高める。"
"都市設計と環境調整（Urban Planning and Environmental Management）","一般教養","環境適応学","都市設計技術を学び、防災・衛生・流通の仕組みを研究する。"
"持続可能な資源管理（Sustainable Resource Management）","一般教養","環境適応学","自然資源の適切な活用と保全、森林・鉱山・水資源の管理方法を探求する。"
"生態系と人間活動（Ecosystems and Human Interaction）","一般教養","環境適応学","野生動植物と人間社会の関係を学び、環境保全と開発のバランスを考える。"
"動作解析と身体制御（Motion Analysis and Physical Control）","一般教養","身体運動学","人体の構造を理解し、無駄のない動作実現の方法を探求する。"
"危機回避と受動運動（Risk Avoidance and Passive Movement Techniques）","一般教養","身体運動学","落下や衝撃を最小限に抑える技術で災害時の対応力を向上させる。"
"都市と自然における移動戦略（Urban and Natural Movement Strategies）","一般教養","身体運動学","都市や自然環境に適応した移動技術を学び、行動計画を策定する。"
"表現技術と身体言語（Expressive Techniques and Body Language）","一般教養","身体運動学","非言語コミュニケーション技術を学び、異文化間の意思疎通や芸術表現に応用する。"
"変装と印象操作（Disguise and Impression Management）","一般教養","身体運動学","服装・仕草・声の使い方を研究し、異なる社会階層や文化に溶け込む技術を習得する。"
"観察と記憶の強化（Observation and Memory Enhancement）","一般教養","情報分析学","精密な観察技術と記憶術を学び、正確な記録・分析能力を養う。"
"異常認識と兆候解析（Anomaly Recognition and Sign Analysis）","一般教養","情報分析学","些細な違和感を察知し、環境や人物の変化を見極める技術を習得する。"
"聴覚分析と音響学（Auditory Analysis and Acoustics）","一般教養","情報分析学","音の特性を学び、環境音や会話、反響を利用した情報収集技術を研究する。"
"言語学と翻訳技術（Linguistics and Translation Studies）","一般教養","情報分析学","各地の言語構造を理解し、正確な翻訳と文化背景の解読を習得する。"
"記録管理と歴史解析（Archival Studies and Historical Analysis）","一般教養","情報分析学","文献や碑文の整理・解読を通して、歴史や文化の研究を進める。"
"文明史と社会構造（Civilization History and Social Structures）","一般教養","文明研究学","古代から現代までの社会制度、文化発展、政治・経済の変遷を分析する。"
"遺跡学と考古学（Archaeology and Ruins Studies）","一般教養","文明研究学","古代遺跡や建造物の構造、文化的背景、技術革新の歴史を考察する。"
"貿易と経済の歴史（History of Trade and Economics）","一般教養","文明研究学","過去の交易路や経済システムを学び、現代の商業・産業との関係を分析する。"
"伝承と神話の研究（Mythology and Folklore Studies）","一般教養","文明研究学","各地の伝承や神話の背景、文化形成における象徴的役割を探求する。"
"芸術文化論（Theories of Artistic and Cultural Expression）","一般教養","文明研究学","絵画、彫刻、音楽、詩などが社会に与える影響と文化発展を分析する。"
"薬草学と生体化学（Herbalism and Biochemistry）","一般教養","応用知識学","植物由来の薬や毒の特性を研究し、医療や科学に応用する。"
"健康管理と長寿研究（Health Management and Longevity Studies）","一般教養","応用知識学","生活習慣、食事、体調管理を学び、健康維持と寿命延長の理論を探求する。"
"犯罪心理と法学（Criminal Psychology and Legal Studies）","一般教養","応用知識学","犯罪の動機や行動を分析し、法律や秩序の構築を考察する。"
"財宝鑑定と市場経済（Treasure Appraisal and Market Economics）","一般教養","応用知識学","価値の変動、市場動向を研究し、財宝や貴金属の評価技術を学ぶ。"
"建築と構造力学（Architecture and Structural Mechanics）","一般教養","応用知識学","建造物の耐久性や設計技術を研究し、安全で機能的な都市構築を目指す。"

